インスコ,インストール
オンスケ,開発スケジュール通りに予定が進んでいること
コミット,目標を達成すること
ハック,プログラミング
ハッカソン,プログラミングイベント
鯖,サーバー
コンピュータ,コンピューター
ギーク,技術オタク
アジェンダ,議題
アタッチ,割り当て
イジェクト,取り出し
インテグレーション,集積
インテグレータ,集積屋
インフラ,基盤
ソート,並べ替え
インスタンス,実体
バーチャル,事実上の
ブラウザ,インターネットを見るためのプログラム
ユーアイ,ソフトウェアの表示する部分
インポート,読み込む
エクスポート,書き出す
エンコード,別形式にデータを変換する
デコード,別形式のデータを使える形式に戻す
エンコーダ,別形式にデータを変換するためのプログラムや機械
デコーダ,別形式のデータを使える形式に戻すためのプログラムや機械
エゴサ,自分の名前をネットで検索する
エゴサ―チ,自分の名前をネットで検索する
エミュレータ,疑似的に他のシステムを模倣するプログラム
エミュレーション,疑似的に他のシステムを模倣する
エモーティコン,顔文字
落ちる,システムが終了する
落とす,システムを終了させる
落として,システムを終了させて
子供,実行先のプログラム
親,実行元のプログラム
殺す,
